ID,[Area] Sample127,[Area] Sample128,[Area] Sample129,[Area] Sample130,[Area] Sample131,[Area] Sample132,[Area] Sample133,[Area] Sample134,[Area] Sample137,[Area] Sample138,[Area] Sample139,[Area] Sample140,[Area] Sample141,[Area] Sample142,[Area] Sample143,[Area] Sample144,[Area] Sample145,[Area] Sample148,[Area] Sample149,[Area] Sample150,[Area] Sample151,[Area] Sample152,[Area] Sample153,[Area] Sample154,[Area] Sample155,[Area] Sample158,[Area] Sample159,[Area] Sample160,[Area] Sample161,[Area] Sample162,[Area] Sample163,[Area] Sample164,[Area] Sample165,[Area] Sample168,[Area] Sample169,[Area] Sample170,[Area] Sample171,[Area] Sample172,[Area] Sample173,[Area] Sample174,[Area] Sample175,[Area] Sample178,[Area] Sample179,[Area] Sample180,[Area] Sample181,[Area] Sample182,[Area] Sample183,[Area] Sample184,[Area] Sample185,[Area] Sample186,[Area] Sample189,[Area] Sample190,[Area] Sample191,[Area] Sample192,[Area] Sample193,[Area] Sample194,[Area] Sample195,[Area] Sample196,[Area] Sample197,[Area] Sample200,[Area] Sample201,[Area] Sample202,[Area] Sample203,[Area] Sample204,[Area] Sample205,[Area] Sample206,[Area] Sample207,[Area] Sample218,[Area] Sample219,[Area] Sample220,[Area] Sample221,[Area] Sample222,[Area] Sample223,[Area] Sample224,[Area] Sample225,[Area] Sample226,[Area] Sample229,[Area] Sample230,[Area] Sample231,[Area] Sample232,[Area] Sample233,[Area] Sample234,[Area] Sample235,[Area] Sample236,[Area] Sample239,[Area] Sample240,[Area] Sample241,[Area] Sample242,[Area] Sample243,[Area] Sample244
name,y60,y48, y33,w36,g13,r110,b18,PW,y60,r110,y60,b18,g13,w36,w36,b18,08A529,04LO73,03LO50,04LO60,12LO75,13LO82,08LO29,12LO38,08LO24,10LO33,04LO73,03LO50,04LO60,2LO75,13LO82,08LO29,12LO38,08LO24,10LO33,17RB16,17RB16,17RB35,17RB35,17RB61,17RB61,17RB68,17RB68,13CLM14,13CLM1,13CLM2,13CLM7,13CLM8,13CLM9,13CLM10,13CLM11,R6,R7,E14,E15,E16,R2,E20,E11,E13,E16,E14,R5,295,39,17-2,17-4,17-3,gigi,46,47,48,49,50,MT-5,3728,3730,830,10206,10207,10208,10211,10216,10217,10428,04LO49,05LO53,11LO40,11LO44,13LO02
class,Chronic,Chronic,Chronic,Negative,Negative,Chronic,Negative,Negative,Chronic,Chronic,Chronic,Negative,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Chronic,Negative,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Negative,Negative,Negative,Sample
577.3583a1.55,0,0,69259.17653,69759.58367,66655.27231,49554.78563,0,24581.03564,34516.98844,24670.88575,26906.39016,10273.96937,15566.68275,18533.15551,28104.46354,21490.03257,21591.18255,25581.14388,25474.87433,45516.73108,13476.07252,22292.36786,30883.28501,33626.56282,58677.61555,45113.05782,27648.84011,12585.04418,61242.91293,52024.44853,11376.62174,26410.65006,31803.00597,16685.62959,24527.69043,28240.10037,34830.76469,38748.0983,38320.85907,32457.66867,44520.40285,39445.37243,23235.79026,53560.38095,63282.08576,71692.51427,60370.98504,27216.64508,32578.49544,15880.91648,45270.41389,44750.5756,135023.0673,107644.4666,47357.0733,43343.10248,0,98895.3245,57866.6313,46838.60588,62374.24095,32256.79307,52258.63988,40709.99753,22626.01728,15605.12186,7309.248334,8678.890793,0,92608.33515,25177.12713,9617.214793,33515.41058,14582.71167,35193.53392,28925.96351,28641.52701,24187.42634,40313.71298,57036.7553,43381.61584,46149.06921,58330.54377,49306.80396,19736.10816,29891.61469,14402.64158,27268.1677,49613.92426,13453.47519
1320.4882a6.85,3919.095103,4048.40528,0,0,0,0,0,4196.5354,0,5284.267802,0,9580.894452,0,0,0,0,5446.467811,0,0,0,0,0,0,0,0,0,3516.797407,0,0,3513.08766,0,0,0,3884.720368,2207.621132,6238.01771,11930.40165,10588.05619,13352.40896,25769.59715,12274.49036,13201.42943,20120.697,11207.54091,8354.265876,5501.862906,9482.674145,8515.484603,8142.992652,8169.839636,8928.154515,0,0,0,0,0,0,0,0,3788.63899,9680.514232,16340.74454,11257.66829,12794.46041,11158.3071,0,6939.624291,6172.518655,0,0,0,0,0,0,0,9023.302368,17529.02888,8255.647848,14432.61239,18774.7709,10171.09482,9369.770929,0,14126.7843,12237.29898,2104.171635,0,6467.40439,0,0
561.3872a4.65,20962.12518,19579.9395,15172.21493,18242.04533,22393.48135,18652.5477,27602.21605,24693.64578,20089.19644,12982.21194,29959.04831,17703.73254,22546.84271,19175.98735,21162.3746,19698.48695,16110.31744,23198.20314,18689.5529,17062.97316,17361.77415,20223.97621,17884.32924,14288.40677,28962.95676,27320.43772,16866.13608,15620.01336,22998.84055,21359.01386,7282.275626,11382.9341,19811.54614,13985.63984,14578.03904,16328.16708,18278.40529,15903.76887,21045.74388,13351.49544,21463.91781,20206.01867,19650.90142,12359.98007,11196.03967,20789.98766,21341.80701,14225.46739,14362.79052,15551.99221,19276.58856,17815.98435,19008.10603,23447.13273,20420.18144,23993.88487,21668.3472,18762.62883,25669.35759,19464.35515,18296.71099,29845.57517,22465.65661,19393.87087,16089.69375,16156.40486,22999.92322,24502.20166,7945.026165,21003.86473,13989.0884,17575.09981,16149.13154,17350.36871,22355.65998,19682.15601,17427.12572,12775.7502,18230.66828,20607.82635,12854.25885,12186.42189,13709.64247,15096.29806,14966.75329,12605.00741,11388.12316,10382.83621,10816.47883,7330.976365
163.1014a0.44,6131.214481,8718.10987,4204.153523,5919.121811,5416.884434,10251.75701,5037.169173,0,0,19506.85877,0,5563.658936,3910.4666,0,0,0,0,0,0,0,0,3469.646614,3522.235959,0,0,4087.5102,5031.679553,10040.91928,0,0,0,8583.802257,3622.579735,0,0,0,0,0,0,0,0,0,0,0,0,0,2673.412669,0,0,0,0,0,0,0,0,0,0,0,0,0,12211.15622,0,0,0,0,0,0,0,2330.606018,0,0,0,0,0,0,12895.40575,0,0,17839.91097,31855.30189,18874.62489,12297.31366,14874.06964,13989.84321,13497.85652,12535.2324,2557.003857,0,8643.194655,0
317.9566a0.41,0,0,4543.698998,22233.32984,15800.64738,7680.652932,0,4940.382148,6445.821231,16997.62262,16629.53154,6637.058721,0,0,10547.93125,11141.81299,5048.147126,0,7501.365426,7008.548034,7361.229075,0,8318.879347,4938.986429,17060.78145,0,0,0,0,8265.540462,4869.152849,0,18016.47678,17777.42431,9242.033264,7388.618082,8798.456639,11978.11244,10801.0844,20573.24099,6615.205963,7538.406029,16098.38366,10343.91254,13633.75645,19151.78246,20651.94743,7599.763566,6048.520984,0,16353.93702,0,19625.91614,14712.25717,7705.663443,10039.52514,6814.080491,14602.30938,8292.698344,16292.92636,10184.94835,11468.04886,19779.18889,13890.24653,7710.88217,0,0,0,0,8777.623585,5181.268541,5125.911104,4782.420279,0,0,4084.318858,0,0,0,0,6274.341862,3377.52986,5172.253402,5184.822658,13450.15596,3127.133969,0,7764.750352,4240.777148,2604.745883
610.7171a2.32,9582.58398,11349.38359,13564.94301,17019.88187,17078.46639,7329.565363,16772.89722,12867.51561,7541.177998,4558.392931,11054.76053,7506.867748,19809.05765,7014.706464,8370.768716,15754.36178,5028.884641,8999.003415,7463.149594,10867.03786,12414.75627,7610.895352,9467.150887,3871.517624,15167.25356,14397.88767,9580.060907,7088.603351,9738.877193,16009.24297,5003.238146,6459.826469,10394.64111,9551.385486,5325.563498,5368.768524,0,5655.188488,4013.952766,16459.23577,6446.513922,8086.270618,4878.071707,5672.468166,14613.62989,16414.27892,11477.80761,5957.758414,6718.947663,7870.212266,10931.84854,6099.27784,6699.90624,8818.225499,7532.346676,5210.618389,19727.3567,5854.928786,8557.193413,7179.737692,6007.001672,11245.64888,8985.512759,7351.027134,7522.454223,9167.661562,7563.4208,10206.01452,18087.62017,11192.08059,6412.787731,7110.208928,8676.215168,8780.208849,14244.57182,0,0,5039.624034,6907.46774,5430.254478,3463.854863,2717.432007,3868.565716,0,0,5065.059056,4161.154605,3151.060596,0,2768.535781
2221.0903a1.72,0,0,0,18190.14524,16406.91909,19102.42968,0,0,0,18356.97678,10021.41089,0,0,0,0,0,19591.32378,0,0,0,0,10926.93084,5640.44899,9847.529269,0,0,0,0,7532.376442,0,0,0,0,30605.00209,12160.34378,6926.698224,16344.65026,15653.2746,12743.20418,34785.25901,31310.00523,17180.4716,34866.96583,0,0,0,0,0,0,0,0,6919.975776,41838.63435,35778.95522,38486.72119,27238.94278,0,35232.55092,36216.93197,22264.03485,32035.03186,24115.94848,59002.92991,37303.80041,0,8015.845492,6212.010859,0,2683.052714,0,0,0,0,0,0,12973.32862,16115.01718,0,19143.60351,25456.04066,17299.84081,10137.25871,12928.99899,21078.0013,17906.65126,6407.166223,0,12518.80369,6970.404885,0
613.4703a4.87,0,0,5761.472433,21095.7133,14354.6943,6371.014651,0,5775.143498,0,0,13968.71403,5562.792592,0,0,9140.535348,8653.744395,0,0,7113.173033,0,0,0,7970.048372,3581.979666,12345.31249,0,0,0,0,0,2784.023337,3039.338882,11727.42604,5774.147499,0,0,0,0,0,0,7251.851631,0,0,10010.93894,21997.17344,31117.84193,18869.3966,12441.22067,0,0,4211.423715,0,10498.32728,11832.7151,6701.29278,7410.295345,0,14056.93681,8783.903473,0,4946.534838,0,12107.8519,6579.346771,0,0,0,0,0,12355.77666,5389.327278,4554.151283,5874.160043,0,0,0,0,0,0,0,0,0,0,3939.969901,0,0,2780.320708,2896.27019,2951.413347,2289.490871
990.3978a7.03,22796.50045,36460.30978,19067.19981,19537.03634,30899.08773,27286.03596,43529.27554,31265.32517,35885.30104,18810.72768,37317.32994,29309.2721,20580.14849,20426.37367,36783.84837,173023.7982,22222.02896,31410.61413,38338.5243,20984.91876,29851.31355,26978.40024,30999.85197,16916.27142,38751.39491,47497.13545,21439.91487,22632.48872,0,23259.99498,17479.77189,22773.44571,35135.41887,22263.3995,16609.3699,22006.28193,24338.87766,23232.40861,26749.54661,22163.54673,29462.97034,27322.11242,19660.86175,26949.13077,18683.06123,26805.69197,31169.41095,20094.07902,23538.33813,24779.84938,24164.67744,24092.45834,35663.20001,27762.47679,26316.41784,22289.9241,25604.74849,26831.1771,34937.79825,27078.09656,24554.77453,41473.19917,29424.60161,28961.16401,25384.2505,25133.42101,34060.90034,32512.51664,10915.39956,36693.58818,22837.98134,23393.10088,17296.26613,27246.01014,22256.32824,26500.40699,26637.15069,17253.6579,29981.4239,28182.82991,23282.00996,19365.2049,22896.91397,23028.68339,23228.77149,21558.05143,17636.84991,15136.38097,14012.76927,10727.75181
594.3746a4.92,4833.164568,0,3913.210978,5885.637881,3401.253527,5785.596542,5327.047064,6542.752016,3072.29906,6785.379566,0,4949.421286,4517.437031,0,3103.897712,0,6983.338986,0,0,0,0,0,0,0,0,0,3161.980337,3883.977513,0,0,0,4280.534865,0,3925.935417,3058.974189,7267.539089,13341.45059,13442.19535,10756.35571,21912.78424,13920.42909,18739.77851,21511.82311,8590.718904,12121.71035,11024.31528,6277.391319,6459.86458,11370.3386,5206.192023,12602.39057,0,0,0,0,4718.973794,0,3633.071049,0,7154.835839,12295.10022,18322.24044,15000.53836,16832.66375,6873.587558,0,5904.139986,6799.111689,0,0,0,0,2987.473929,0,0,9482.549912,22118.88222,7638.551028,19680.67578,28181.76973,12574.81844,10768.75815,7525.952334,17899.21989,14317.18385,0,0,3673.355501,0,0
260.2312a4.46,0,0,5432.052568,21125.01174,23670.31133,20368.79437,0,6799.999017,6669.309346,7160.657507,15301.43453,6223.812799,0,0,6542.129549,13765.2693,8694.260477,0,13190.4959,7648.788368,6689.691604,0,8647.702561,4182.430868,18020.4589,8505.030129,0,0,6638.132339,0,3147.085065,0,21323.65778,9918.280232,8466.847435,9967.670618,8505.775563,10884.91059,7357.869735,0,11856.09598,15820.468,16290.12001,17883.83686,21388.27219,21695.92408,19659.34372,10978.16459,0,0,10644.92338,10315.45805,16333.29936,26668.01266,10419.80401,12198.48618,0,36380.14003,8364.934393,5364.570514,9613.51306,0,24445.35648,7567.097635,0,0,0,0,0,23606.2544,9659.581351,10754.60296,13822.5487,6752.954396,0,5642.776226,0,6037.132035,8214.664831,9353.989703,16632.40041,8874.259809,6557.666745,8848.725155,12458.96631,7596.981844,0,6641.33317,4015.232459,3308.880276
1090.7333a4.38,17977.59038,20870.9141,13541.31658,22651.04187,22582.38493,18907.29031,24988.98849,21442.41562,26064.19094,19075.2575,22282.90186,15088.24105,21000.07667,13906.33415,23637.51132,15779.05514,33897.84703,23559.16703,9395.060438,13619.31361,14734.54431,26978.40024,34690.84905,23489.49559,66046.47032,35206.69961,12318.50171,10456.36059,15218.45109,21129.7779,4304.756891,15111.82631,7276.699344,23980.6932,39713.22455,9470.756832,13162.92372,16041.35378,13480.33301,47950.29004,15927.57845,23311.46267,63449.79335,0,15439.34222,38378.76123,17736.17402,21798.35582,0,8503.424775,15523.44809,15245.86307,20686.4161,22594.78033,0,28205.94561,18330.56914,10146.23652,21769.72231,22418.78208,10365.92853,36892.01081,29914.83979,8847.315357,17951.97774,17107.24889,21700.42174,9882.747093,22935.50358,8299.828664,18360.34186,22381.4079,16065.26992,15892.09754,0,13517.95974,13774.61307,8984.824219,18675.74611,17667.94043,15497.88575,12892.62737,10922.47065,11058.72121,18418.73084,9710.254567,44664.40658,8520.984552,8522.367143,7430.223313
828.522a1.95,0,0,0,56982.9529,0,27811.85084,0,0,22234.85901,27009.25336,27966.32485,0,0,11187.62583,21271.45444,26018.28336,0,0,0,42060.75921,0,0,33338.15038,0,43261.60707,0,0,0,28628.61951,0,7385.830732,0,39921.36937,0,13772.14062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15207.78145,51918.27305,48836.12067,22433.25568,0,5575.60652,0,40335.49804,27636.60953,48996.34017,0,36512.90199,0,14232.54204,0,0,0,0,13199.88102,18948.83162,5133.575445,5722.593635,12120.8731,19404.80517,19736.86781,13761.98044,0,14665.66495,28947.22145,32330.6523,0,25380.06634,38271.39186,0,12041.34667,0,0,14728.60514,0
1042.5631a3.06,0,0,0,26645.67478,18087.27086,7701.881482,0,6149.133112,7179.003583,12355.69396,13135.33026,0,0,0,7920.260134,11507.95587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34024.31419,4500.521683,0,0,0,4249.429615,0,0,0,0,6322.319584,7913.555749,12908.00247,12688.4811,10451.28994,6999.333738,0,0,4735.859144,0,12402.42694,16329.64297,8956.143914,9741.281106,5844.409792,18962.81846,13422.5691,5897.292287,9140.65421,0,11782.58871,7549.348987,0,0,0,0,0,10813.02995,0,0,0,0,0,0,0,0,0,0,5745.616482,5814.814238,0,6518.54144,11246.10933,7618.217717,0,2921.698374,0,1659.953857
692.3382a2.74,19038.65932,42193.33731,107271.3938,213557.9973,206053.2596,143905.8956,118596.833,149576.2166,78874.52073,88204.87158,186022.5841,87524.96651,96849.37561,67407.18991,237605.1435,101637.006,40147.83567,99370.26948,100643.4033,81017.86817,55919.65787,100162.4908,179953.2882,55015.4508,167875.5883,99245.57269,63386.76245,79279.6881,75674.24291,71786.2655,42815.70449,61614.24162,98478.29817,144571.8848,59141.39617,27694.89496,55950.15052,59317.04249,72142.90636,54477.61637,71937.14826,62647.96457,61369.7444,130977.7947,234575.5092,397794.7143,290407.7229,245465.6772,72405.26569,38837.69977,71130.34082,69245.61115,496362.8694,378977.3061,280618.91,536297.7318,147558.1545,385440.8283,346570.7785,260181.6699,112769.1343,261392.8573,385958.987,192452.4523,37746.44354,85703.05917,127031.6394,166750.3658,82753.57875,168893.0723,72175.50845,80958.43151,67984.84323,72658.44139,91470.47896,55035.09823,80767.1018,75036.59992,103090.7143,134854.1467,83848.20582,53424.15297,76752.81455,75766.29862,71422.47468,56720.40977,46184.61921,92538.7568,56228.82776,47908.70733
182.101a0.42,0,0,10346.34891,30924.9211,32790.10161,17403.32914,10709.25746,12795.19718,10816.64807,11903.20875,15062.16901,9441.413124,7640.309069,8435.208041,17955.60485,20251.95874,8494.068216,7622.707955,15036.92396,7728.344859,6203.223516,7007.167911,14255.09525,7737.205625,23471.31808,16206.87482,7401.857585,6914.596518,11443.53002,6863.100958,4233.794826,0,19083.42564,11726.89354,8227.289216,0,6226.983018,7599.3231,8295.383107,0,0,7835.166014,5647.507214,13329.45899,46634.79609,63359.15244,29175.93182,21565.65649,0,0,8743.24719,0,0,24234.98814,5749.783732,17119.00372,15208.82317,20253.75323,23035.52014,0,9418.67057,7650.810729,9961.302326,0,0,0,0,0,0,15827.75309,16429.23358,9252.392172,17340.88975,14156.98019,16572.34576,10458.2437,0,0,0,0,0,4619.517684,0,9851.017368,0,4241.713927,3875.661368,5781.351978,7768.940483,5792.973006
275.1417a1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8670.870316,0,0,0,0,2956.121053,0,10203.78403,0,0,0,0,20522.20356,0,0,0,0,7438.912209,5039.322139,6950.494096,13605.80769,4271.861937,12809.40264,21799.19097,7472.962103,7779.852763,15413.61096,0,0,0,0,0,0,0,0,14151.59916,22554.06941,20259.98967,13985.79648,25188.89679,14876.52955,11933.93815,23416.70421,10888.33501,4255.729646,0,9986.610989,12493.50507,3178.346887,0,0,0,0,0,0,0,0,0,0,2781.183229,3872.320303,4786.456107,5147.307581,7706.466185,5295.965367,4595.004767,3418.093893,3704.693459,4660.625649,5620.832186,0,3910.346179,12808.25323,0
2939.6869a1.66,41994.63193,46206.6463,41201.78459,41253.87655,35899.59306,38900.50263,67100.24196,68722.14138,47511.98311,25653.69627,46875.23613,47648.03454,52862.35682,19781.97395,51531.79665,36683.25911,23913.68796,43040.60031,58974.06756,37063.85389,14245.05468,31046.41576,25923.96982,17433.81242,40696.57683,38089.43165,30242.36615,28433.44151,36266.95456,31062.40426,12842.48347,29388.61112,13496.36236,33014.06209,17027.06115,27238.57413,28262.17737,32361.6161,37196.37977,47203.36072,41470.60324,31491.67801,36989.34619,35764.86972,28989.33075,36716.38579,34227.45756,26163.92641,35172.9325,19774.74062,30571.07862,29653.93034,198162.3722,26579.70141,35025.58536,243425.1484,20044.80842,31008.79689,38026.16715,38661.90474,37105.55738,44090.48259,40982.22443,48885.17929,24797.70436,38450.79784,39382.4126,66702.24546,70830.64136,31978.28319,28595.61971,26350.00355,38861.781,30008.83846,38200.57638,22151.64776,37769.86102,24209.18296,65552.6048,45631.31257,30807.46752,22628.34114,27328.40601,31020.06992,31915.88588,21405.75988,14075.69742,20943.6697,14096.54301,8363.663564
415.9829a0.43,0,0,0,0,0,0,0,9778.485368,0,0,0,0,0,0,0,0,0,0,7974.034919,0,0,76776.09021,0,52956.29829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7415.924419,0,0,0,0,0,0,0,37565.5218,31872.42278,0,0,8382.374428,29990.54841,40727.79535,24132.56314,75825.30392,0,23859.5078,58375.30439,0,0,39881.8078,5494.496711,0,0,0,0,0,0,0,0,0,0,0,0,7571.695898,0,0,0,0,0,0,0,0,0
325.3748a4.53,0,0,0,0,0,14626.47142,0,0,0,8182.071666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14726.75047,5318.703651,0,6407.303255,13193.24249,19838.14165,8405.688647,0,0,0,0,0,0,0,0,8667.067594,9861.849519,0,0,5165.830889,12830.82122,7449.855215,0,0,3696.616413,0,5069.231484,5793.776162,3550.070502,12061.50014,13233.97271,0,0,10060.23751,3392.906066,0,0,0,10314.44659,0,4622.698161,7981.382595,3536.966929,21053.10297,3894.742593,14981.47814,0,0,3023.373954,0,0,0,0,0
1201.7075a2,13765.38723,17527.2804,16948.92207,21323.40403,0,0,20677.59568,14586.62809,0,15143.38254,19119.27999,10146.61686,7237.801487,7628.532477,17403.99789,10179.62356,0,12748.58817,10659.19991,8023.840398,8630.276262,8719.217475,5449.0704,6992.957047,10712.77337,13400.57886,5331.966843,0,6738.269048,11166.40038,6489.315808,7982.905789,13520.69312,6504.70444,7226.058708,6529.167196,7610.566288,7657.647138,8329.376913,8024.399861,7939.962668,8159.143632,8477.071013,8041.137213,0,0,0,7093.068962,8052.460582,7583.235829,8814.181466,6644.855445,11837.06402,10605.28796,9688.407252,11751.62909,17944.67978,27823.88699,17085.49241,7289.127972,8008.565434,10548.293,13180.18933,8644.363422,7515.122396,7842.675903,0,0,0,15834.12369,7818.025865,7879.708741,0,8467.147324,9754.576827,5966.9022,7465.880707,0,9524.490334,10400.38978,8660.642339,6627.826004,6834.22637,8051.116162,8544.714184,6553.997115,6804.169129,6796.953658,6037.616496,2702.371149
626.7653a4.18,0,0,0,26400.40499,13904.68838,0,0,0,8093.273143,8756.696237,13141.10962,7352.658578,0,6615.680359,0,13900.65702,10711.3179,0,8460.783929,11560.31585,4678.100735,0,0,10074.23684,12810.19874,8866.584905,0,0,17242.14413,0,0,0,24565.05562,13011.02516,12951.50016,8396.443225,16422.75576,12401.33559,13415.9237,13345.06563,13888.02497,12957.34873,13415.73473,14080.92784,15713.1718,18416.82811,11776.41589,0,5868.272449,0,17618.00175,18560.51903,30503.81884,24532.66651,11291.58734,12687.07709,0,24145.50553,23300.01521,12927.61886,17655.19402,0,17814.48675,11004.16197,0,0,0,0,0,10867.18004,0,0,0,0,0,15951.80592,8041.928355,9741.690832,15852.83121,16096.75005,21226.74921,15224.85639,12035.90101,15609.82714,19579.67838,10926.15998,0,6525.889214,12451.67782,2466.902899
612.08a3.62,35943.59899,37645.99549,28695.30541,28897.46911,46139.94753,33460.27828,45143.07335,40069.57792,37792.45851,46534.46467,42789.22834,36593.48953,32670.9628,35467.85478,34262.5966,39418.26127,9157.248078,40078.57313,34308.76545,35920.70288,24549.26462,35984.29894,36521.9942,24078.93528,48040.9639,39468.92085,24560.81112,27396.65079,53448.55091,35991.90922,17306.07986,33886.62049,7251.467445,35002.08208,23760.48988,34462.02087,33043.77935,44085.49555,35481.48174,22178.54962,40234.48133,33453.98147,35843.07819,28567.03197,0,33682.57301,29364.52653,25398.96832,33086.61688,38416.22393,30759.174,35244.15785,64687.83032,86175.90279,38776.16019,47461.51663,40963.63974,41932.72481,43910.62677,33788.25646,36874.51885,53125.9531,38350.12346,23540.10946,35124.58231,34698.26052,37013.41782,35853.29659,14568.72549,47748.70089,23678.96956,28976.57313,29797.03265,28730.83922,40817.31536,30419.76148,28798.17155,0,35983.84165,40777.79734,28581.99606,16717.22616,21898.55334,35619.97932,31537.78877,21452.4788,18937.37264,14694.9477,19380.19583,11810.38682
872.5218a1.93,6163.287093,0,6501.992089,4922.137781,36932.13411,28273.16357,50348.97742,29253.83959,35767.8152,34548.35304,35900.23078,5339.27593,5615.8518,0,6150.15161,0,3271.182827,31184.77042,33300.06864,44433.24743,0,6773.178873,31669.67704,0,37832.49695,34134.168,6422.56247,24753.19699,0,40081.81419,3435.059026,33560.7876,35495.87457,0,4349.517316,33979.10466,25676.97091,0,6659.207576,9342.510415,6182.515644,7339.980713,32884.86013,0,5882.760358,25517.50767,4339.332568,0,24004.04815,3208.676219,4617.901023,28893.85213,35144.06172,43067.11391,4910.930581,6035.115536,4300.027803,4704.044375,5722.206349,5643.827003,28029.59395,6522.47635,21969.79429,6701.272269,27110.89569,34726.85734,0,7310.252071,0,31901.836,0,6602.82957,29505.44043,5099.120373,37698.90096,28909.38418,5944.912793,9560.385677,4239.629172,0,28159.8199,20915.93876,26505.26519,4731.751614,0,13961.67632,3575.142171,11562.19539,3496.479677,2592.096762
554.2814a3.5,24363.60395,21951.31092,34427.75109,42911.33111,22065.12538,25036.62608,50406.30402,26399.32769,15990.44209,33894.62266,26401.27406,19321.19614,17647.98619,26356.88936,53816.26536,20618.10162,24849.98235,46837.47713,15916.89376,33665.65519,37085.63791,21878.86815,17806.038,34103.94419,24772.18398,0,0,31300.20408,24201.64544,16318.61833,15147.92544,24215.44569,11341.73844,23784.31561,44256.2312,12475.33554,30068.90366,18008.66846,28389.30043,19496.24822,40493.7143,60468.79804,49523.5917,9168.340477,11221.38122,22779.10893,13778.99389,16462.00295,15954.03438,12515.10235,0,27624.7236,43540.05674,27388.39431,31471.72506,37750.77245,88616.85293,151924.1568,53302.42437,44306.62109,48149.96904,23678.6875,44223.60802,34009.49694,26105.70225,18426.67405,29275.4772,22902.65764,30254.3448,31604.54138,19678.72052,19255.88974,31206.52332,27677.37512,34788.18018,18364.09898,28784.69675,18995.50597,56354.0376,58819.98217,53351.00427,11289.94947,46528.05124,25441.17743,22530.80001,27964.00417,23123.3978,11081.60271,29314.36532,10867.86515
585.4383a4.41,74497.55229,40182.41435,70095.55196,99643.15453,108846.047,40893.53695,139291.7348,73345.35554,64898.12173,109083.1086,104867.6499,60592.07505,46314.96128,41532.42442,86174.84243,75416.91834,83947.9762,79605.08384,62079.6067,93079.2005,34273.33869,63382.4505,32317.75454,71602.02463,62353.20738,78548.38168,42852.19135,113474.9309,146014.4595,105024.5477,25185.75706,65011.99668,38270.48228,83528.35709,90513.08066,65849.47518,115421.057,79861.31113,91681.29334,158152.9054,109272.4138,72313.73582,95408.34277,100748.6987,96097.99127,101463.0891,100821.2407,59406.50097,41823.36941,44530.61981,93339.1451,70622.76715,193090.1067,196397.2718,112259.0029,58234.94601,49584.30909,225322.9017,196693.2029,120106.9708,108749.064,56200.60146,137267.6272,62440.51654,61514.75943,31313.50999,25680.36877,17549.85282,3418.245378,31283.8879,45289.47169,55347.27041,67629.39308,64950.20671,78484.10909,92046.80279,72744.54347,49239.84309,111675.1091,177238.1204,113195.4799,97155.7816,37583.9953,125921.7003,70779.92003,70309.54821,51183.08247,60423.46862,76359.22818,21144.78933
133.9957a0.44,82836.43162,61960.14088,0,229746.6406,232308.8797,18403.52047,205384.9756,261817.5252,16766.02535,10818.50995,222677.5994,17396.18054,16404.70537,9885.499386,0,17999.75428,6780.394941,181524.2988,238220.3962,213975.707,163469.8963,115527.1756,0,68393.78859,379972.4611,286061.4107,186069.0598,114363.0907,253869.8463,235080.5438,85000.58922,233652.4917,152005.0677,273035.1507,166139.7678,43204.20411,51145.37437,143779.9707,58998.03853,56931.65959,50570.44282,52857.519,50229.94511,253902.5352,266814.1904,395212.9745,280618.9959,14753.13771,92575.15835,76580.76087,168869.802,27562.54952,618334.5869,463605.2814,360122.7771,31491.71942,251576.7752,540780.5661,463406.4744,406188.346,0,307458.5533,17062.72572,373541.1397,0,110725.2704,158713.7003,201719.9248,93705.19813,174022.4662,118301.9284,112133.904,68580.33765,111053.1438,163522.1058,25363.0647,44935.92745,37948.81729,74267.54412,126894.2969,36874.74203,139114.8928,32588.92312,53479.86507,115036.9238,88163.45666,168975.7268,25468.86938,154269.8816,109616.9568
